sample,thin_sample,who,value
215,2150,monkeys,0.094471
215,2150,kids,0.015290
215,2150,tsimane,0.002236
215,2150,adults,0.000450
216,2160,monkeys,0.078021
216,2160,kids,0.016161
216,2160,tsimane,0.001176
216,2160,adults,0.000709
217,2170,monkeys,0.077755
217,2170,kids,0.015999
217,2170,tsimane,0.001152
217,2170,adults,0.000774
218,2180,monkeys,0.080090
218,2180,kids,0.011381
218,2180,tsimane,0.001435
218,2180,adults,0.000540
219,2190,monkeys,0.089526
219,2190,kids,0.013125
219,2190,tsimane,0.001842
219,2190,adults,0.001281
220,2200,monkeys,0.094086
220,2200,kids,0.011686
220,2200,tsimane,0.001485
220,2200,adults,0.000294
221,2210,monkeys,0.091747
221,2210,kids,0.012735
221,2210,tsimane,0.001499
221,2210,adults,0.000147
222,2220,monkeys,0.092095
222,2220,kids,0.012304
222,2220,tsimane,0.001518
222,2220,adults,0.000150
223,2230,monkeys,0.091511
223,2230,kids,0.013205
223,2230,tsimane,0.001551
223,2230,adults,0.000136
224,2240,monkeys,0.091581
224,2240,kids,0.013240
224,2240,tsimane,0.001216
224,2240,adults,0.000333
225,2250,monkeys,0.091320
225,2250,kids,0.012867
225,2250,tsimane,0.001156
225,2250,adults,0.000505
226,2260,monkeys,0.092045
226,2260,kids,0.012051
226,2260,tsimane,0.001412
226,2260,adults,0.000794
227,2270,monkeys,0.087841
227,2270,kids,0.012893
227,2270,tsimane,0.001604
227,2270,adults,0.000700
228,2280,monkeys,0.087215
228,2280,kids,0.013002
228,2280,tsimane,0.001574
228,2280,adults,0.000628
229,2290,monkeys,0.081719
229,2290,kids,0.013381
229,2290,tsimane,0.002635
229,2290,adults,0.000685
230,2300,monkeys,0.096825
230,2300,kids,0.018871
230,2300,tsimane,0.003013
230,2300,adults,0.000200
231,2310,monkeys,0.097989
231,2310,kids,0.018605
231,2310,tsimane,0.002648
231,2310,adults,0.000214
232,2320,monkeys,0.099432
232,2320,kids,0.018532
232,2320,tsimane,0.002011
232,2320,adults,0.000183
233,2330,monkeys,0.099698
233,2330,kids,0.018648
233,2330,tsimane,0.002184
233,2330,adults,0.000165
234,2340,monkeys,0.097597
234,2340,kids,0.018513
234,2340,tsimane,0.001880
234,2340,adults,0.000164
235,2350,monkeys,0.100653
235,2350,kids,0.018769
235,2350,tsimane,0.001921
235,2350,adults,0.000313
236,2360,monkeys,0.094991
236,2360,kids,0.019959
236,2360,tsimane,0.002315
236,2360,adults,0.000117
237,2370,monkeys,0.099257
237,2370,kids,0.020602
237,2370,tsimane,0.001482
237,2370,adults,0.000644
238,2380,monkeys,0.098328
238,2380,kids,0.019928
238,2380,tsimane,0.001934
238,2380,adults,0.000485
239,2390,monkeys,0.078715
239,2390,kids,0.014324
239,2390,tsimane,0.001912
239,2390,adults,0.000716
240,2400,monkeys,0.080745
240,2400,kids,0.016852
240,2400,tsimane,0.001955
240,2400,adults,0.000936
241,2410,monkeys,0.079983
241,2410,kids,0.011182
241,2410,tsimane,0.002096
241,2410,adults,0.000975
242,2420,monkeys,0.083188
242,2420,kids,0.010716
242,2420,tsimane,0.001831
242,2420,adults,0.001132
243,2430,monkeys,0.091807
243,2430,kids,0.011821
243,2430,tsimane,0.001458
243,2430,adults,0.000862
244,2440,monkeys,0.085314
244,2440,kids,0.012300
244,2440,tsimane,0.001416
244,2440,adults,0.001389
245,2450,monkeys,0.086697
245,2450,kids,0.017039
245,2450,tsimane,0.003326
245,2450,adults,0.000650
246,2460,monkeys,0.089384
246,2460,kids,0.018034
246,2460,tsimane,0.001483
246,2460,adults,0.000193
247,2470,monkeys,0.091539
247,2470,kids,0.018387
247,2470,tsimane,0.001729
247,2470,adults,0.000032
248,2480,monkeys,0.093451
248,2480,kids,0.016273
248,2480,tsimane,0.002668
248,2480,adults,0.000095
249,2490,monkeys,0.094230
249,2490,kids,0.017007
249,2490,tsimane,0.002689
249,2490,adults,0.000085
250,2500,monkeys,0.061745
250,2500,kids,0.012459
250,2500,tsimane,0.001286
250,2500,adults,0.000076
251,2510,monkeys,0.087007
251,2510,kids,0.012720
251,2510,tsimane,0.003354
251,2510,adults,0.001201
252,2520,monkeys,0.071330
252,2520,kids,0.014784
252,2520,tsimane,0.001615
252,2520,adults,0.000776
253,2530,monkeys,0.057131
253,2530,kids,0.014258
253,2530,tsimane,0.002913
253,2530,adults,0.000161
254,2540,monkeys,0.068390
254,2540,kids,0.016622
254,2540,tsimane,0.000515
254,2540,adults,0.000075
255,2550,monkeys,0.086074
255,2550,kids,0.014843
